"Datum",0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90-"
2020-03-26,20,113,250,264,407,572,393,363,292,129,
2020-03-27,1,0,14,18,20,37,31,51,39,28,
2020-03-28,0,2,22,29,54,70,68,69,71,17,
2020-03-29,4,0,16,25,28,31,41,43,49,17,
2020-03-30,2,2,12,26,35,58,59,49,59,25,
2020-03-31,1,4,23,35,53,76,55,63,65,32,
2020-04-01,1,2,23,51,47,78,73,88,104,45,
2020-04-02,2,4,31,41,73,89,71,76,81,51,
2020-04-03,4,8,43,59,85,111,81,76,110,35,
2020-04-04,1,4,18,34,36,60,41,54,72,45,
2020-04-05,4,4,29,41,45,44,51,62,66,38,
2020-04-06,3,0,22,28,52,65,61,53,53,39,
2020-04-07,3,4,44,38,64,73,67,66,71,56,
2020-04-08,3,2,59,82,94,102,82,100,120,80,
2020-04-09,4,4,60,77,100,116,98,90,105,67,
2020-04-10,5,3,51,62,59,105,73,60,85,44,
2020-04-11,1,0,37,41,58,72,62,56,94,45,
2020-04-12,3,4,13,27,32,54,53,56,63,26,
2020-04-13,1,2,35,47,58,87,69,66,73,29,
2020-04-14,1,0,31,32,60,61,61,76,106,68,
2020-04-15,0,8,40,53,58,65,65,66,86,42,
2020-04-16,0,3,23,59,101,96,85,63,124,59,
2020-04-17,5,6,56,72,84,120,84,76,106,68,
2020-04-18,3,2,36,61,72,102,66,89,123,50,
2020-04-19,2,4,50,67,66,92,79,69,87,44,
2020-04-20,0,7,19,38,33,90,51,62,68,28,
2020-04-21,5,3,38,52,66,116,73,55,79,58,
2020-04-22,4,4,57,81,102,117,82,72,116,47,
2020-04-23,7,8,93,101,124,151,70,58,70,69,
2020-04-24,1,11,63,103,107,164,91,83,126,62,
2020-04-25,3,8,62,69,97,101,73,62,71,64,
2020-04-26,5,4,38,48,65,81,62,54,68,38,
2020-04-27,2,3,17,23,34,58,36,36,53,24,
2020-04-28,2,3,61,96,104,129,78,68,101,53,
2020-04-29,0,2,73,103,111,126,61,66,92,47,
2020-04-30,1,7,71,106,130,148,86,72,105,64,
2020-05-01,1,2,35,67,69,77,49,41,61,26,
2020-05-02,1,8,52,67,85,112,61,50,80,45,
2020-05-03,1,2,23,24,29,41,24,25,40,26,
2020-05-04,3,3,26,43,52,59,49,58,72,38,
2020-05-05,2,4,41,49,87,85,56,72,56,44,
2020-05-06,0,8,89,101,97,112,60,64,105,66,
2020-05-07,6,10,79,95,104,121,79,68,90,53,
2020-05-08,0,4,82,98,95,126,66,52,75,45,
2020-05-09,5,3,85,92,100,134,63,49,78,49,
2020-05-10,5,2,53,51,76,73,39,33,45,23,
